iter	Passed	Remaining
412	3170	4505
413	3177	4498
414	3184	4489
415	3191	4480
416	3198	4471
417	3205	4463
418	3212	4454
419	3218	4445
420	3225	4436
421	3232	4427
422	3240	4419
423	3247	4411
424	3254	4403
425	3261	4394
426	3267	4384
427	3275	4377
428	3282	4368
429	3289	4360
430	3296	4352
431	3304	4344
432	3311	4335
433	3318	4327
434	3325	4319
435	3332	4310
436	3339	4302
437	3346	4293
438	3353	4285
439	3360	4277
440	3367	4268
441	3374	4260
442	3381	4251
443	3389	4244
444	3396	4235
445	3403	4227
446	3410	4219
447	3417	4210
448	3424	4202
449	3430	4193
450	3437	4184
451	3444	4176
452	3452	4168
453	3459	4160
454	3466	4151
455	3473	4143
456	3479	4134
457	3486	4126
458	3494	4118
459	3501	4110
460	3508	4102
461	3515	4093
462	3522	4085
463	3529	4077
464	3537	4069
465	3544	4061
466	3551	4053
467	3558	4045
468	3565	4037
469	3572	4029
470	3580	4020
471	3586	4012
472	3593	4003
473	3600	3995
474	3607	3987
475	3614	3978
476	3621	3970
477	3628	3962
478	3635	3954
479	3642	3946
480	3649	3938
481	3656	3929
482	3663	3921
483	3671	3914
484	3678	3906
485	3685	3898
486	3692	3889
487	3699	3881
488	3706	3873
489	3714	3865
490	3721	3857
491	3728	3849
492	3735	3841
493	3741	3832
494	3748	3824
495	3755	3816
496	3762	3808
497	3769	3799
498	3776	3791
499	3783	3783
500	3790	3775
501	3797	3767
502	3805	3759
503	3812	3751
504	3819	3743
505	3827	3736
506	3834	3728
507	3841	3720
508	3849	3712
509	3855	3704
510	3863	3696
511	3869	3688
512	3876	3680
513	3883	3672
514	3890	3664
515	3897	3656
516	3904	3648
517	3912	3640
518	3919	3632
519	3926	3624
520	3933	3616
521	3939	3607
522	3947	3599
523	3954	3591
524	3961	3584
525	3968	3576
526	3975	3568
527	3982	3560
528	3989	3552
529	3997	3544
530	4003	3536
531	4011	3528
532	4018	3520
533	4025	3512
534	4032	3504
535	4038	3496
536	4046	3488
537	4052	3480
538	4060	3472
539	4067	3464
540	4074	3457
541	4081	3449
542	4088	3440
543	4095	3433
544	4102	3425
545	4109	3417
546	4117	3409
547	4124	3401
548	4130	3393
549	4137	3385
550	4144	3377
551	4150	3368
552	4158	3361
553	4165	3353
554	4172	3345
555	4179	3337
556	4186	3329
557	4193	3321
558	4200	3313
559	4208	3306
560	4215	3298
561	4222	3290
562	4229	3282
563	4236	3274
564	4243	3267
565	4250	3259
566	4257	3251
567	4264	3243
568	4271	3235
569	4278	3227
570	4284	3219
571	4291	3211
572	4298	3203
573	4306	3195
574	4312	3187
575	4319	3179
576	4326	3172
577	4333	3164
578	4340	3156
579	4347	3148
580	4354	3140
581	4361	3132
582	4368	3124
583	4375	3116
584	4382	3108
585	4389	3101
586	4396	3092
587	4403	3085
588	4410	3077
589	4417	3069
590	4424	3062
591	4431	3054
592	4438	3046
593	4445	3038
594	4453	3031
595	4460	3023
596	4466	3015
597	4473	3007
598	4480	2999
599	4488	2992
600	4494	2984
601	4502	2976
602	4508	2968
603	4515	2960
604	4522	2952
605	4529	2945
606	4537	2937
607	4544	2929
608	4551	2922
609	4558	2914
610	4565	2906
611	4573	2899
612	4579	2891
613	4586	2883
614	4593	2875
615	4601	2868
616	4608	2860
617	4614	2852
618	4621	2844
619	4628	2836
620	4636	2829
621	4643	2822
622	4651	2814
623	4658	2806
624	4664	2798
625	4671	2790
626	4678	2783
627	4685	2775
628	4692	2767
629	4700	2760
630	4707	2752
631	4714	2745
632	4722	2737
633	4728	2729
634	4735	2722
635	4742	2714
636	4749	2706
637	4756	2699
638	4764	2691
639	4770	2683
640	4777	2675
641	4784	2667
642	4791	2660
643	4798	2652
644	4804	2644
645	4811	2636
646	4818	2628
647	4824	2620
648	4832	2613
649	4839	2605
650	4846	2598
651	4853	2590
652	4860	2582
653	4867	2575
654	4874	2567
655	4881	2559
656	4887	2551
657	4895	2544
658	4902	2537
659	4910	2529
660	4916	2521
661	4923	2513
662	4930	2506
663	4937	2498
664	4945	2491
665	4952	2483
666	4959	2475
667	4966	2468
668	4973	2460
669	4980	2453
670	4986	2445
671	4993	2437
672	5000	2429
673	5007	2422
674	5014	2414
675	5021	2406
676	5028	2399
677	5036	2391
678	5043	2384
679	5050	2376
680	5057	2369
681	5065	2361
682	5071	2353
683	5079	2346
684	5085	2338
685	5093	2331
686	5099	2323
687	5106	2315
688	5113	2308
689	5120	2300
690	5127	2292
691	5134	2285
692	5141	2277
693	5148	2270
694	5155	2262
695	5162	2254
696	5169	2247
697	5176	2239
698	5182	2231
699	5189	2224
700	5196	2216
701	5203	2208
702	5211	2201
703	5218	2194
704	5225	2186
705	5232	2178
706	5239	2171
707	5246	2163
708	5252	2156
709	5260	2148
710	5267	2141
711	5274	2133
712	5281	2125
713	5288	2118
714	5295	2110
715	5302	2103
716	5309	2095
717	5316	2087
718	5323	2080
719	5330	2072
720	5337	2065
721	5344	2057
722	5351	2050
723	5358	2042
724	5365	2035
725	5372	2027
726	5379	2020
727	5386	2012
728	5393	2005
729	5400	1997
730	5407	1989
731	5414	1982
732	5422	1975
733	5428	1967
734	5435	1959
735	5442	1952
736	5449	1944
737	5456	1937
738	5463	1929
739	5470	1922
740	5477	1914
741	5483	1906
742	5491	1899
743	5497	1891
744	5505	1884
745	5512	1876
746	5519	1869
747	5526	1861
748	5533	1854
749	5540	1846
750	5547	1839
751	5554	1831
752	5560	1824
753	5568	1816
754	5574	1808
755	5581	1801
756	5589	1794
757	5596	1786
758	5603	1779
759	5610	1771
760	5618	1764
761	5624	1756
762	5631	1749
763	5639	1742
764	5646	1734
765	5653	1726
766	5659	1719
767	5666	1711
768	5673	1704
769	5680	1696
770	5687	1689
771	5694	1681
772	5702	1674
773	5713	1668
774	5723	1661
775	5733	1655
776	5740	1647
777	5748	1640
778	5755	1632
779	5762	1625
780	5769	1617
781	5776	1610
782	5784	1603
783	5791	1595
784	5799	1588
785	5807	1581
786	5814	1573
787	5821	1566
788	5828	1558
789	5836	1551
790	5843	1543
791	5851	1536
792	5858	1529
793	5865	1521
794	5872	1514
795	5879	1506
796	5886	1499
797	5893	1491
798	5900	1484
799	5907	1476
800	5914	1469
801	5921	1461
802	5928	1454
803	5935	1446
804	5942	1439
805	5949	1432
806	5956	1424
807	5963	1417
808	5970	1409
809	5978	1402
810	5986	1395
811	5993	1387
812	6000	1380
813	6007	1372
814	6015	1365
815	6022	1358
816	6030	1350
817	6037	1343
818	6044	1335
819	6052	1328
820	6059	1321
821	6066	1313
822	6073	1306
823	6081	1298
824	6087	1291
825	6095	1283
826	6103	1276
827	6110	1269
828	6117	1261
829	6124	1254
830	6132	1247
831	6139	1239
832	6146	1232
833	6155	1225
834	6163	1217
835	6170	1210
836	6177	1203
837	6185	1195
838	6193	1188
839	6201	1181
840	6208	1173
841	6215	1166
842	6222	1158
843	6230	1151
844	6238	1144
845	6246	1137
846	6252	1129
847	6260	1122
848	6267	1114
849	6276	1107
850	6282	1100
851	6290	1092
852	6297	1085
853	6304	1077
854	6311	1070
855	6317	1062
856	6325	1055
857	6333	1048
858	6341	1040
859	6349	1033
860	6357	1026
861	6364	1018
862	6372	1011
863	6379	1004
864	6386	996
865	6394	989
866	6402	982
867	6411	974
868	6418	967
869	6426	960
870	6434	952
871	6443	945
872	6450	938
873	6458	931
874	6466	923
875	6475	916
876	6483	909
877	6492	902
878	6500	894
879	6508	887
880	6516	880
881	6523	872
882	6531	865
883	6539	858
884	6547	850
885	6555	843
886	6562	836
887	6570	828
888	6577	821
889	6585	813
890	6593	806
891	6601	799
892	6609	791
893	6616	784
894	6625	777
895	6632	769
896	6641	762
897	6649	755
898	6657	747
899	6664	740
900	6672	733
901	6680	725
902	6688	718
903	6695	711
904	6704	703
905	6711	696
906	6718	688
907	6726	681
908	6733	674
909	6740	666
910	6747	659
911	6755	651
912	6762	644
913	6770	637
914	6777	629
915	6784	622
916	6792	614
917	6799	607
918	6806	599
919	6812	592
920	6820	584
921	6826	577
922	6834	570
923	6841	562
924	6849	555
925	6857	548
926	6864	540
927	6872	533
928	6879	525
929	6886	518
930	6892	510
931	6900	503
932	6908	496
933	6915	488
934	6922	481
935	6929	473
936	6936	466
937	6942	458
938	6950	451
939	6956	444
940	6964	436
941	6971	429
942	6978	421
943	6985	414
944	6991	406
945	6998	399
946	7005	392
947	7012	384
948	7019	377
949	7026	369
950	7032	362
951	7039	354
952	7047	347
953	7054	340
954	7061	332
955	7068	325
956	7075	317
957	7082	310
958	7089	303
959	7097	295
960	7103	288
961	7110	280
962	7117	273
963	7124	266
964	7131	258
965	7138	251
966	7145	243
967	7152	236
968	7159	229
969	7167	221
970	7173	214
971	7181	206
972	7188	199
973	7196	192
974	7203	184
975	7210	177
976	7218	169
977	7225	162
978	7233	155
979	7241	147
980	7249	140
981	7255	133
982	7263	125
983	7270	118
984	7277	110
985	7285	103
986	7292	96
987	7299	88
988	7306	81
989	7312	73
990	7320	66
991	7327	59
992	7334	51
993	7341	44
994	7348	36
995	7354	29
996	7362	22
997	7368	14
998	7376	7
999	7382	0
