iter	RMSE
0	28.71753489
1	28.58691558
2	28.47161269
3	28.38077534
4	28.3036749
5	28.23343356
6	28.17482297
7	28.1230167
8	28.08396584
9	28.04826959
10	28.01725631
11	27.98267248
12	27.95885705
13	27.93063283
14	27.90448493
15	27.88112659
16	27.85490563
17	27.83674105
18	27.81850501
19	27.80226981
20	27.77727234
21	27.76012061
22	27.7379717
23	27.72894663
24	27.71885788
25	27.68866211
26	27.6668918
27	27.64988888
28	27.63412268
29	27.60972999
30	27.59800276
31	27.58060969
32	27.56784418
33	27.54908057
34	27.53267475
35	27.52499021
36	27.49903615
37	27.48752505
38	27.47461882
39	27.45945897
40	27.44046139
41	27.42171076
42	27.40898267
43	27.39391394
44	27.3828455
45	27.37004264
46	27.36342965
47	27.34940663
48	27.33168887
49	27.32104722
50	27.31325799
51	27.30477989
52	27.29451417
53	27.29099047
54	27.28450334
55	27.27284785
56	27.25816165
57	27.24319351
58	27.23876724
59	27.22877073
60	27.2202041
61	27.20260477
62	27.19149159
63	27.18668474
64	27.18248607
65	27.17197631
66	27.16671419
67	27.15224167
68	27.14828324
69	27.143554
70	27.13379068
71	27.12313245
72	27.10670504
73	27.09840236
74	27.09226033
75	27.08748406
76	27.07510787
77	27.06541211
78	27.06073101
79	27.0522921
80	27.04571673
81	27.03790897
82	27.03399282
83	27.02851111
84	27.02131412
85	27.01313012
86	27.00534068
87	26.9947933
88	26.98665504
89	26.98075075
90	26.97532894
91	26.9712935
92	26.95725958
93	26.94981834
94	26.94256875
95	26.93185061
96	26.92909918
97	26.92063513
98	26.9096902
99	26.90781251
100	26.90420145
101	26.90003473
102	26.88987616
103	26.88556381
104	26.88050743
105	26.87502025
106	26.87015734
107	26.8621123
108	26.85927362
109	26.85464827
110	26.85017941
111	26.84504937
112	26.83765372
113	26.83561261
114	26.830476
115	26.8254725
116	26.81947411
117	26.813755
118	26.80945177
119	26.80695302
120	26.8031284
121	26.79686276
122	26.79209898
123	26.78756608
124	26.7838052
125	26.77671784
126	26.77303766
127	26.76863857
128	26.76038769
129	26.75502482
130	26.74993309
131	26.74389597
132	26.73987195
133	26.73762937
134	26.73216449
135	26.72677943
136	26.72386622
137	26.72000976
138	26.71438572
139	26.71026048
140	26.70515025
141	26.70079744
142	26.69813794
143	26.69381853
144	26.69002524
145	26.684814
146	26.68116101
147	26.67678029
148	26.67058042
149	26.66312219
150	26.6581235
151	26.65369688
152	26.65055574
153	26.64666399
154	26.64187847
155	26.63831468
156	26.63364484
157	26.62973701
158	26.62561083
159	26.62099705
160	26.61740433
161	26.61321894
162	26.60956617
163	26.60577342
164	26.60401693
165	26.59956387
166	26.59632115
167	26.59407801
168	26.58933985
169	26.58603032
170	26.58181344
171	26.57770355
172	26.57350284
173	26.56999478
174	26.56623329
175	26.5624455
176	26.55836942
177	26.55574576
178	26.55279313
179	26.55025634
180	26.54723447
181	26.54250909
182	26.5403194
183	26.53540119
184	26.53182983
185	26.52770143
186	26.52443893
187	26.52102768
188	26.51638385
189	26.51412619
190	26.51111048
191	26.50792788
192	26.5035498
193	26.49942986
194	26.49534295
195	26.49044619
196	26.48753015
197	26.48489196
198	26.48155454
199	26.47883315
200	26.47507332
201	26.47207234
202	26.47022727
203	26.46641679
204	26.46317589
205	26.46017562
206	26.45621588
207	26.45143943
208	26.449662
209	26.44690521
210	26.44342128
211	26.4402361
212	26.43673807
213	26.43338117
214	26.42998288
215	26.42727066
216	26.42417386
217	26.4212956
218	26.41819525
219	26.41573526
220	26.41409016
221	26.41119927
222	26.40928891
223	26.40623502
224	26.40343665
225	26.40147493
226	26.39819928
227	26.39565898
228	26.39366652
229	26.38806901
230	26.3861609
231	26.38429024
232	26.38076879
233	26.37748006
234	26.37493084
235	26.3734056
236	26.37108079
237	26.36826363
238	26.36464568
239	26.36325023
240	26.36066188
241	26.35725413
242	26.35499919
243	26.35264862
244	26.35091187
245	26.34897689
246	26.34700933
247	26.345037
248	26.34069319
249	26.33802359
250	26.33592652
251	26.33277695
252	26.32946938
253	26.32842947
254	26.32632173
255	26.32407926
256	26.32235766
257	26.31939142
258	26.31765545
259	26.31575842
260	26.31315874
261	26.31083743
262	26.30848351
263	26.30469683
264	26.30198693
265	26.29802868
266	26.29471915
267	26.29326434
268	26.28978265
269	26.28860138
270	26.28392066
271	26.28162852
272	26.27859011
273	26.27611712
274	26.27426193
275	26.27180523
276	26.2693763
277	26.26663357
278	26.26504996
279	26.26257858
280	26.26055107
281	26.25846592
282	26.25619036
283	26.25376273
284	26.25137261
285	26.24985481
286	26.24806782
287	26.24625246
288	26.24443696
289	26.2423144
290	26.24022513
291	26.23640806
292	26.23441086
293	26.23299292
294	26.23053789
295	26.22837433
296	26.22675724
297	26.22535771
298	26.22263097
299	26.2201577
300	26.21811203
301	26.21535579
302	26.21317341
303	26.2113277
304	26.20937456
305	26.2073672
306	26.20570426
307	26.20311836
308	26.20073003
309	26.19946515
310	26.1974772
311	26.19516931
312	26.19289523
313	26.19096993
314	26.18867165
315	26.18665535
316	26.18436401
317	26.18173368
318	26.17981997
319	26.17775233
320	26.17383806
321	26.17148902
322	26.16966629
323	26.16772819
324	26.1668067
325	26.16537227
326	26.16327433
327	26.16231925
328	26.15887591
329	26.15643483
330	26.15520989
331	26.15200487
332	26.1504351
333	26.14864618
334	26.14710968
335	26.14434537
336	26.14192384
337	26.13933262
338	26.1375553
339	26.13520431
340	26.13155509
341	26.13052006
342	26.12963309
343	26.12647405
344	26.12409639
345	26.12225762
346	26.12053741
347	26.11827204
348	26.11713923
349	26.11502251
350	26.11285936
351	26.10992982
352	26.10779807
353	26.10616713
354	26.10382889
355	26.10214073
356	26.09991539
357	26.09803807
358	26.09592565
359	26.09387716
360	26.09127281
361	26.09018105
362	26.08879563
363	26.0866002
364	26.08483599
365	26.08341841
366	26.08005753
367	26.07922387
368	26.07769302
369	26.07616124
370	26.0749526
371	26.07357095
372	26.07134557
373	26.07006899
374	26.0690569
375	26.06758558
376	26.06595445
377	26.06454768
378	26.06275224
379	26.06019341
380	26.05730489
381	26.05530385
382	26.05405246
383	26.05256321
384	26.05084136
385	26.04938585
386	26.04809235
387	26.04681113
388	26.04499568
389	26.04293518
390	26.04123858
391	26.04017909
392	26.03840504
393	26.03544379
394	26.03408969
395	26.03229276
396	26.03085417
397	26.02818941
398	26.02639404
399	26.02514238
400	26.02384442
401	26.02210174
402	26.02047753
403	26.01896534
404	26.0177907
405	26.01596264
406	26.01387751
407	26.01194266
408	26.01034931
409	26.00905758
410	26.00736599
411	26.00527434
412	26.00438171
413	26.00306794
414	26.00093627
415	26.00016441
416	25.99836814
417	25.99711824
418	25.99578523
419	25.99482104
420	25.99377259
421	25.99247951
422	25.99130174
423	25.99022675
424	25.98898989
425	25.98759221
426	25.98654189
427	25.98465206
428	25.98353509
429	25.98184812
430	25.98086858
431	25.97966279
432	25.97809825
433	25.97697884
434	25.97598355
435	25.97482798
436	25.97319649
437	25.97150861
438	25.96993684
439	25.96930514
440	25.96761327
441	25.96607281
442	25.96476147
443	25.96326821
444	25.96128335
445	25.95969574
446	25.95847334
447	25.9576579
448	25.95529372
449	25.95322728
450	25.95224685
451	25.95019457
452	25.94892168
453	25.9468802
454	25.94513705
455	25.94390409
456	25.94286065
457	25.94142104
458	25.93847498
459	25.93743366
460	25.93630641
461	25.93524683
462	25.93398854
463	25.93236501
464	25.93098108
465	25.92969267
466	25.92829889
467	25.92667934
468	25.92521766
469	25.92369452
470	25.9228694
471	25.92224229
472	25.92000888
473	25.9193016
474	25.91824388
475	25.91693062
476	25.91459613
477	25.91304819
478	25.91164187
479	25.91048426
480	25.90937796
481	25.90801893
482	25.90675173
483	25.90558207
484	25.9046187
485	25.90335036
486	25.90272799
487	25.90226279
488	25.90072669
489	25.89874216
490	25.89752424
491	25.8958638
492	25.89434008
493	25.89348359
494	25.89257366
495	25.89122359
496	25.88963984
497	25.88843316
498	25.88731344
499	25.88602203
500	25.88465776
501	25.88324461
502	25.8819866
503	25.87966865
504	25.87827825
505	25.87688858
506	25.87581297
507	25.87413627
508	25.87252422
509	25.87045702
510	25.86962254
511	25.86825354
512	25.86743598
513	25.86611629
514	25.86421838
515	25.86330257
516	25.86185172
517	25.86113903
518	25.8599669
519	25.85866207
520	25.85701024
521	25.85582755
522	25.85446628
523	25.8534652
524	25.85198508
525	25.85062427
526	25.84900554
527	25.84789378
528	25.84690608
529	25.8452075
530	25.84419865
531	25.84257338
532	25.84166873
533	25.84081096
534	25.83947036
535	25.83837401
536	25.83743882
537	25.83639849
538	25.83473878
539	25.83321295
540	25.83201614
541	25.83083711
542	25.82936541
543	25.82821622
544	25.82769149
545	25.82659075
546	25.8253652
547	25.82435032
548	25.82307398
549	25.82233101
550	25.82111525
551	25.819885
552	25.81873917
553	25.81718508
554	25.81582708
555	25.8143744
556	25.812944
557	25.81201289
558	25.81093098
559	25.80939978
560	25.80845146
561	25.80709427
562	25.80649733
563	25.80506346
564	25.80391271
565	25.80263425
566	25.8017095
567	25.80035354
568	25.79938499
569	25.79803193
570	25.7975411
571	25.79682091
572	25.79613593
573	25.7947788
574	25.79409893
575	25.79314795
576	25.79236995
577	25.79116588
578	25.79003031
579	25.7890468
580	25.78778351
581	25.78685197
582	25.78565064
583	25.78337374
584	25.7819224
585	25.7807634
586	25.77959172
587	25.77881782
588	25.77765675
589	25.77674212
590	25.7756447
591	25.77425428
592	25.77344327
593	25.77240227
594	25.77133364
595	25.77046318
596	25.76954427
597	25.76798698
598	25.76701589
599	25.7658633
600	25.76474717
601	25.76381584
602	25.76316727
603	25.76242569
604	25.76163114
605	25.76076156
606	25.75982801
607	25.75875201
608	25.75749303
609	25.75503964
610	25.75401569
611	25.75305574
612	25.75209823
613	25.75127103
614	25.74978941
615	25.74894098
616	25.7478442
617	25.74649267
618	25.74553288
619	25.74472595
620	25.74388626
621	25.74324759
622	25.74256973
623	25.74166378
624	25.74107799
625	25.74034438
626	25.7383519
627	25.73722133
628	25.73548561
629	25.73445596
630	25.73337195
631	25.73195824
632	25.73061957
633	25.72946752
634	25.72884886
635	25.72802925
636	25.72620881
637	25.72513269
638	25.72347736
639	25.72227563
640	25.72119863
641	25.72070202
642	25.71973478
643	25.71899648
644	25.71858086
645	25.71807591
646	25.71690898
647	25.71558179
