MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,CRS_DEP_TIME,DEP_DELAY_NEW
8,5,9E,JFK,1459,101.0
8,5,9E,JFK,900,0.0
8,5,9E,JFK,1155,0.0
8,5,DL,LGA,1630,21.0
8,5,DL,LGA,1329,28.0
8,5,DL,LGA,730,56.0
8,5,DL,LGA,1130,39.0
8,5,DL,LGA,600,0.0
8,5,DL,LGA,845,0.0
8,5,OO,LGA,1107,0.0
8,5,OO,LGA,1652,12.0
8,5,OO,HPN,1803,20.0
8,5,OO,HPN,620,0.0
8,5,OO,HPN,1200,0.0
8,5,UA,LGA,1005,0.0
8,5,UA,LGA,1300,45.0
8,5,UA,LGA,900,0.0
8,5,UA,LGA,800,1.0
8,5,UA,LGA,1500,47.0
8,5,UA,LGA,630,0.0
8,5,YX,LGA,700,32.0
8,6,AA,LGA,1130,33.0
8,6,AA,JFK,900,0.0
8,6,AA,JFK,1555,0.0
8,6,AA,LGA,2030,124.0
8,6,AA,LGA,600,0.0
8,6,OO,HPN,1200,0.0
8,6,OO,HPN,705,0.0
8,6,OO,HPN,1630,9.0
8,6,B6,JFK,1321,17.0
8,6,B6,JFK,807,0.0
8,6,9E,JFK,1459,9.0
8,6,9E,JFK,1155,0.0
8,6,DL,LGA,1845,0.0
8,6,DL,LGA,1415,5.0
8,6,DL,LGA,1130,2.0
8,6,YX,JFK,1959,26.0
8,6,OO,LGA,1915,0.0
8,6,OO,LGA,1652,0.0
8,6,OO,HPN,1803,0.0
8,6,OO,HPN,620,0.0
8,6,UA,LGA,1005,0.0
8,6,UA,LGA,1300,3.0
8,6,UA,LGA,630,0.0
8,6,UA,LGA,800,0.0
8,6,YX,LGA,700,0.0
8,7,AA,LGA,1330,153.0
8,7,AA,JFK,1555,18.0
8,7,AA,LGA,1130,170.0
8,7,AA,LGA,1530,77.0
8,7,AA,LGA,700,0.0
8,7,AA,LGA,600,0.0
8,7,AA,LGA,1630,2.0
8,7,AA,LGA,1830,85.0
8,7,AA,LGA,1229,138.0
8,7,AA,LGA,1930,119.0
8,7,OO,HPN,1630,115.0
8,7,OO,HPN,705,116.0
8,7,B6,JFK,1321,165.0
8,7,DL,LGA,845,98.0
8,7,DL,LGA,1329,81.0
8,7,DL,LGA,2045,0.0
8,7,DL,LGA,1630,147.0
8,7,DL,LGA,1130,0.0
8,7,YX,JFK,1935,38.0
8,7,OO,HPN,1803,152.0
