iter	RMSE
0	28.60620033
1	28.55721353
2	28.52325216
3	28.4869703
4	28.44531749
5	28.41146942
6	28.38853267
7	28.36677199
8	28.33881304
9	28.31633839
10	28.30102925
11	28.28457592
12	28.27159648
13	28.25329694
14	28.23922095
15	28.2207827
16	28.20719101
17	28.19322782
18	28.17785953
19	28.16177383
20	28.14300962
21	28.1291251
22	28.11751901
23	28.10578989
24	28.09516126
25	28.08216883
26	28.0746306
27	28.07274008
28	28.06766147
29	28.06342709
30	28.05214043
31	28.04308782
32	28.03073433
33	28.02595868
34	28.01503815
35	28.00954543
36	28.00056687
37	27.99475308
38	27.98794311
39	27.98102317
40	27.96936353
41	27.95980019
42	27.94722157
43	27.94040104
44	27.93373548
45	27.92496282
46	27.91895444
47	27.9154865
48	27.90748582
49	27.90182079
50	27.89756841
51	27.89281383
52	27.88755947
53	27.88376469
54	27.88024023
55	27.87320148
56	27.861794
57	27.85604057
58	27.84985366
59	27.84412973
60	27.84049789
61	27.83393983
62	27.82962567
63	27.82887979
64	27.82267241
65	27.81858782
66	27.8123907
67	27.80720484
68	27.8022771
69	27.79831928
70	27.7949126
71	27.78390615
72	27.77998504
73	27.77295831
74	27.76594645
75	27.76254351
76	27.75656125
77	27.75063834
78	27.74503335
79	27.73976412
80	27.73146401
81	27.72918401
82	27.71581111
83	27.71270237
84	27.70651758
85	27.70194312
86	27.69987076
87	27.69707658
88	27.69274677
89	27.68693724
90	27.68305673
91	27.67763767
92	27.67419476
93	27.67063937
94	27.66750357
95	27.66456426
96	27.66035195
97	27.65760722
98	27.65472805
99	27.64978979
100	27.64417507
101	27.64184234
102	27.63948374
103	27.63500379
104	27.6310895
105	27.62760527
106	27.62317674
107	27.61836956
108	27.61610702
109	27.61457211
110	27.61229662
111	27.60895449
112	27.60603066
113	27.60441875
114	27.60103675
115	27.59644806
116	27.59170012
117	27.58845517
118	27.57788709
119	27.57680191
120	27.56953932
121	27.56373294
122	27.56113206
123	27.56101535
124	27.55526482
125	27.55299778
