"MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","ORIGIN","DEST","CRS_DEP_TIME","DEP_DELAY_NEW"
"4","7","B6","JFK","LAX","1605","5.0"
"12","4","9E","JFK","ORD","1200","33.0"
"8","4","AA","LGA","DFW","1359","35.0"
"12","4","DL","JFK","LAX","1905","40.0"
"9","5","DL","LGA","DFW","600","0.0"
"12","6","YX","LGA","ORD","1659","7.0"
"9","4","AA","JFK","LAX","1130","158.0"
"3","1","OO","JFK","ORD","805","0.0"
"5","5","B6","JFK","ATL","820","0.0"
"7","7","B6","JFK","ORD","730","7.0"
"5","2","OO","JFK","ORD","1205","0.0"
"8","3","NK","LGA","DFW","1235","5.0"
"7","3","AA","JFK","DFW","820","11.0"
"2","5","DL","LGA","ATL","1350","7.0"
"4","2","AA","JFK","LAX","710","0.0"
"9","4","DL","LGA","ATL","715","0.0"
"5","7","F9","LGA","ATL","2245","0.0"
"12","4","AA","LGA","ORD","600","0.0"
"11","5","AA","LGA","ORD","1930","31.0"
"6","7","AA","LGA","ORD","1845","0.0"
"2","1","AA","LGA","DFW","1235","0.0"
"8","7","DL","JFK","ATL","1129","0.0"
"8","5","B6","JFK","ATL","1614","73.0"
"7","7","DL","JFK","LAX","1800","15.0"
"4","6","AA","LGA","ORD","930","0.0"
"5","4","F9","LGA","DFW","2255","9.0"
"8","6","UA","LGA","ORD","1815","0.0"
"12","4","DL","JFK","LAX","700","131.0"
"5","3","B6","JFK","ORD","630","0.0"
"8","5","DL","JFK","LAX","1200","0.0"
"2","6","WN","LGA","ATL","1505","24.0"
"12","3","DL","LGA","ATL","1059","26.0"
"8","5","WN","LGA","ATL","1550","4.0"
"8","2","B6","JFK","LAX","1430","23.0"
"2","5","DL","LGA","DFW","1159","0.0"
"6","7","AA","JFK","LAX","1529","91.0"
"8","4","AA","JFK","LAX","1130","0.0"
"6","6","OO","LGA","ORD","2100","0.0"
"11","7","F9","LGA","ATL","1059","11.0"
"12","3","UA","LGA","ORD","1659","0.0"
"4","1","AA","LGA","DFW","550","0.0"
"10","3","AA","LGA","ORD","1343","58.0"
"11","2","B6","JFK","LAX","1730","0.0"
"10","5","B6","JFK","ORD","1729","0.0"
"3","3","WN","LGA","ATL","1040","88.0"
"4","4","YX","LGA","ATL","1615","52.0"
"12","1","AA","LGA","DFW","1839","28.0"
"12","1","UA","LGA","ORD","900","0.0"
"8","5","B6","JFK","LAX","530","0.0"
"9","1","B6","JFK","LAX","2015","32.0"
"12","2","B6","JFK","ATL","1315","28.0"
"10","3","AA","LGA","DFW","1455","0.0"
"3","7","AA","LGA","DFW","1042","0.0"
"10","6","B6","JFK","LAX","820","62.0"
"3","6","OO","LGA","ORD","1300","0.0"
"2","6","AA","LGA","ORD","1335","0.0"
"8","7","AA","LGA","ORD","1530","0.0"
"10","1","DL","JFK","ATL","615","0.0"
"4","2","DL","JFK","LAX","700","178.0"
"6","7","AA","JFK","LAX","959","0.0"
"10","5","AA","JFK","DFW","820","0.0"
"12","1","DL","LGA","DFW","1510","20.0"
"11","2","AA","LGA","DFW","550","0.0"
"4","3","DL","JFK","LAX","1915","0.0"
"9","6","DL","LGA","DFW","800","0.0"
"3","5","AA","LGA","DFW","1559","87.0"
"4","1","YX","LGA","ORD","1110","0.0"
"8","6","B6","JFK","LAX","1920","180.0"
"7","6","B6","JFK","LAX","1100","66.0"
"7","4","B6","JFK","LAX","1100","0.0"
"8","4","AA","LGA","ORD","930","0.0"
"6","5","UA","LGA","ORD","1005","0.0"
"3","4","AA","LGA","DFW","1459","134.0"
"3","3","OO","JFK","ORD","1205","0.0"
"3","5","DL","JFK","LAX","2129","0.0"
"7","2","AA","JFK","LAX","2100","0.0"
"4","1","DL","LGA","ATL","1815","8.0"
"10","3","AA","LGA","DFW","738","0.0"
"12","5","AA","JFK","ORD","1735","0.0"
"8","2","AA","JFK","PHX","1325","0.0"
"11","2","DL","JFK","LAX","1715","0.0"
"3","4","AA","LGA","DFW","1855","0.0"
"3","2","OO","JFK","ORD","1125","0.0"
"4","5","YX","LGA","ATL","905","0.0"
"8","6","AA","LGA","ORD","1930","0.0"
"3","4","DL","JFK","LAX","1929","0.0"
"11","1","DL","JFK","ATL","615","24.0"
"6","3","AA","JFK","LAX","1530","21.0"
"9","7","DL","JFK","ATL","805","31.0"
"12","1","B6","JFK","ATL","810","0.0"
"5","3","DL","JFK","LAX","800","10.0"
"10","3","B6","JFK","PHX","950","0.0"
"6","7","DL","LGA","ATL","1600","13.0"
"10","6","WN","LGA","ATL","1320","42.0"
"9","1","DL","JFK","ATL","1605","7.0"
"4","5","DL","JFK","DFW","835","0.0"
"9","5","DL","JFK","DFW","821","0.0"
"4","3","AA","JFK","PHX","1559","16.0"
"2","7","DL","JFK","LAX","710","51.0"
"10","7","9E","JFK","ORD","1220","0.0"
"9","2","AA","LGA","ORD","1530","68.0"
"8","4","AA","LGA","DFW","829","0.0"
"8","3","AA","JFK","PHX","1729","10.0"
"10","6","NK","LGA","DFW","1159","0.0"
"5","5","B6","LGA","ATL","1330","0.0"
"4","3","B6","JFK","ATL","1735","167.0"
"5","1","DL","LGA","ATL","1229","0.0"
"5","4","AA","LGA","DFW","1045","0.0"
"3","6","B6","JFK","ATL","1759","6.0"
"12","7","B6","JFK","LAX","959","0.0"
"10","7","AA","JFK","LAX","700","37.0"
"12","7","DL","LGA","ATL","1440","37.0"
"10","7","DL","JFK","ATL","1748","0.0"
"11","2","DL","JFK","ATL","815","8.0"
"9","7","DL","LGA","ORD","1845","0.0"
"2","3","B6","JFK","LAX","1159","0.0"
"3","4","B6","JFK","ATL","1725","25.0"
"11","4","9E","JFK","ORD","829","0.0"
"2","7","AA","LGA","DFW","815","0.0"
"10","2","OO","LGA","ORD","1656","0.0"
"11","3","B6","JFK","ATL","1759","0.0"
"10","4","DL","LGA","ORD","2035","0.0"
"5","4","DL","JFK","LAX","1545","0.0"
"12","4","AA","JFK","LAX","1100","0.0"
"9","3","B6","JFK","LAX","1830","0.0"
"9","3","WN","LGA","ATL","1555","0.0"
"8","2","AA","LGA","DFW","1359","0.0"
"4","5","AA","JFK","DFW","1430","0.0"
"2","4","B6","JFK","DFW","2116","0.0"
"9","4","B6","JFK","PHX","1755","147.0"
"4","5","DL","JFK","ATL","1725","0.0"
"2","1","DL","LGA","ATL","1350","0.0"
